id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
49207,68.2,2015,1471.089966,382.36,176.564,141.6666667,100,56,0,0,120,0,0,50,16,1042.590667,660.2306667
12515,65.35,2015,181.4526825,390.18,0,83.33333333,0,100.9,0,468,0,0,47.33333206,134,0,1223.746665,833.5666654
6807,78.01,2015,1202.133301,356.53,0,0,0,0,0,0,0,0,0,346,0,702.53,346
14905,103.82,2015,24206.48047,361.46,5805.56758,1000,4565.798131,0.8,511.3333333,10098.91667,1520,291.6666667,1222.5,1356,300,27034.04238,26672.58238
49210,68.2,2015,3300,382.36,0,166.6666667,130,679.2333333,0,0,240,0,0,0,499.9,2098.16,1715.8
27213,93.23,2015,564.6488647,617.2069908,0,0,0,0,2,0,0,0,67.91666603,0,0,687.1236568,69.91666603
9101,87.15,2015,2576.399902,844.1617338,0,350,120,250,7,32,225,0,166.6666718,50,0,2044.828406,1200.666672
3303,84.16,2015,3718.333252,356.53,0,0,200,0,0,2079.166667,200,58.33333333,0,225,348,3467.03,3110.5
24014,103.42,2015,256.3333435,329.2,0,87.5,0,0,0,96,0,0,0,0,0,512.7,183.5
57410,77.19,2015,3596.398682,493.33,0,295.8333333,382.3109034,155,3,200,454,0,202.5,0,52.16666667,2238.140903,1744.810903
9610,76.35,2015,10772.22656,533.46,0,633.3333333,400,185.5,283.4166667,1060,400,246,303.3333282,0,415.8,4460.843328,3927.383328
48808,92.22,2015,1451.32019,411.73,0,20.83333333,0,0,0,0,0,0,0,0,0,432.5633333,20.83333333
27906,81.11,2015,1401.06665,356,0,2.916666667,10,66.66666667,0,0,0,0,0,0,98.66666667,534.25,178.25
53815,78.28,2015,1588.751953,415.17,783.72,0,0,48,0,48,80,0,0,0,24,1398.89,983.72
53202,52.46,2015,41593.46094,439.34,0,0,300,0,0,4166.666667,0,83.33333333,0,0,104,5093.34,4654
47514,154.48,2015,929.7999878,493.32,0,0,0,0,0,0,0,0,0,9,0,502.32,9
40409,105.24,2015,115.2799988,388.92,0,0,0,0,0,0,0,0,191.6666641,0,0,580.5866641,191.6666641
33903,107.63,2015,387.4125977,428.52,134.352,45.83333333,20,0,0,28,140,41.66666667,0,410,0,1248.372,819.852
