Taxpayer_ID,Year,Sector,Sector_Code,weight,Revenues,Other_revenues,Expenses,Net_accounting_profit,Total_additions_to_GP,Other_deductions,Investment_incentive,Carried_forward_losses,Op_WDV_Comp,Op_WDV_Mach,Op_WDV_Bld,Op_WDV_Others,sch2_wdv_beg_year_class_20,Tax_depr_Intang,Add_Bld,Add_Comp,Add_Mach,Add_Others,sch2_addinit_during_yr_class_20,Excl_Comp,Excl_Mach,Excl_Others,sch2_dispsl_class_20,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1
55894,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,193790000,0,192120000,1670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55897,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,8789653930,0,8752443630,37210300,0,28710290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55898,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,4397784650,0,4360574350,37210300,0,28710290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55905,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1110500959,0,1079093868,31407091,2325390,0,0,0,1080000,7360000.8,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55907,2023,P-Education,16,1,2574278408,0,2538485727,35792681,110360420,0,0,0,15893123,116529908,1191212620,0,0,0,59560631,56374600,30740500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55912,2023,I-Accommodation and food service activities,8,1,239789270,0,233532451,6256819,1260000,0,0,0,0,6300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55922,2023,Q-Human health and social work activities,17,1,213553700,0,212624243,929457,2561550,0,0,0,346032,8393687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55923,2023,P-Education,16,1,644209500,0,667849183,-23639683,16135139,0,0,0,3353724.6,59330032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55935,2023,Q-Human health and social work activities,17,1,177040600,0,163870721,13169879,7309200,0,0,0,3928356.7,6403125,0,8151575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55941,2023,F-Construction,5,1,203787900,0,186489721,17298179,747520,0,0,0,0,3737600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55944,2023,"M-Professional, scientific and technical activities",12,1,334098322,0,247394865,86703457,536836,392400,0,46180158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55951,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,578723608,0,563959770,14763838,21915000,0,0,0,3300000,1507328,0,31200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55952,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,553644402,0,562297165,-8652763,5941000,413436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55960,2023,J-Information and communication,9,1,287046742,0,297023671,-9976929,21723080,0,0,174583050,0,100815400.8,0,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55961,2023,"A-Agriculture, forestry and fishing",0,1,1964126500,0,1937213816,26912684,2558866,0,0,0,2469840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55969,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,3880014396,0,4378283404,-498269008,65286750,0,0,716586219,5102597,59067600,0,112537862,0,0,0,5750311,144876148,38500000,0,0,0,0,0,0,0,0,0,0,0,0,0
55972,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,651020000,0,618399544,32620456,0,0,0,7458276,0,0,0,0,0,0,0,1800000,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55980,2023,S-Other service activities,19,1,192560000,0,186157782,6402218,9408800,0,0,0,3000000,13044000,0,0,0,0,0,5000000,25000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55983,2023,L-Real estate activities,11,1,8481550000,0,8327675949,153874051,5706298,131036563,0,0,2050842,14857600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55987,2023,"M-Professional, scientific and technical activities",12,1,1371753143,0,1243023226,128729917,7809782,0,0,0,12696480,8192000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55991,2023,Q-Human health and social work activities,17,1,990121904,0,964101922,26019982,571873,162031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55998,2023,C-Manufacturing,2,1,47114307715,0,40448064778,6666242937,633394707,0,0,0,2987496,634653105,4045184340,37907083,0,0,202259217,14478325,47041407,1130011126,0,0,0,0,0,0,0,0,0,0,0,0,0
55999,2023,"M-Professional, scientific and technical activities",12,1,570553756,0,689565226,-119011470,11231384,0,0,199224009,4140000,23804000,0,0,0,0,0,2700000,3260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56001,2023,L-Real estate activities,11,1,11919900000,0,11749860721,170039279,79141120,0,0,0,26597280,29143181,0,0,0,0,0,7366949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56009,2023,"M-Professional, scientific and technical activities",12,1,391792089,0,354691275,37100814,2320000,0,0,6652082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56016,2023,K-Financial and insurance activities,10,1,65592557882,0,65563734900,28822982,2808023,0,0,0,0,10388727.6,0,0,0,0,0,0,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56035,2023,F-Construction,5,1,1349943144,0,1297170972,52772172,955731,0,0,0,725760,3379200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56050,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1028401254,0,1031832094,-3430840,755500,0,0,0,1760000,1820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56058,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,2633450858,0,2612680926,20769932,4937580,0,0,0,2253600,70353920,0,16401000,0,0,0,0,16401000,0,0,0,0,16401000,0,0,0,0,0,0,0,0,0
56061,2023,N-Administrative and support service activities,13,1,3459630016,0,3401761944,57868072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56067,2023,H-Transportation and storage,7,1,442649152,0,432359865,10289287,35519375,0,0,0,216432,110264129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56068,2023,C-Manufacturing,2,1,12203618339,0,11804924234,398694105,17439300,0,0,0,1329600,262400,0,0,0,0,0,0,84000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56070,2023,C-Manufacturing,2,1,243000000,0,495166737,-252166737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56072,2023,S-Other service activities,19,1,702878751,0,809982191,-107103440,46499694,0,0,1058548381,4481056,51845920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
