id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
35710,80.06,2015,50979.35742,436.2,4431.348,3200.0000004000003,3840.0,9.600000000000001,1452.0,3072.0,10872.0,0.0,859.9999694399999,1488.0,3218.7999996000003,32879.94796944,32443.74796944,5234.4
35805,65.69,2015,36000.0,389.57,69130.266,4050.0,1680.0,6500.000000399999,0.0,10320.0,13800.0,0.0,0.0,1944.0,0.0,107813.83600040001,107424.2660004,4674.84
10911,164.6,2015,123984.7266,423.95,0.0,1823.0000004,1920.0,480.0,189.0,4416.0,660.0,1260.0,2991.0000624,0.0,2784.0,16946.9500628,16523.000062799998,5087.4
5408,77.07,2015,122436.0,356.53,0.0,3650.0000004000003,1800.0,0.0,96.0,2748.0,2400.0,0.0,0.0,504.0,27720.0,39274.5300004,38918.0000004,4278.36
29415,103.79,2015,106324.359372,676.85,0.0,0.0,2460.0,5284.799999999999,9818.0000004,16077.0,1200.0,0.0,1197.0,1968.0,19086.0,57767.6500004,57090.8000004,8122.200000000001
4809,93.21,2015,19200.0,356.53,0.0,1859.0000004,240.0,672.0,0.0,4320.0,6240.0,0.0,0.0,0.0,53760.0,67447.5300004,67091.0000004,4278.36
53402,86.97,2015,13330.199712,440.3002443,0.0,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,0.0,96.0,0.0,2096.3002443,1656.0,5283.6029315999995
31803,73.98,2015,4983.3599856,438.2303158,775.248,0.0,2520.0,0.0,0.0,480.0,0.0,0.0,30.0,0.0,0.0,4243.4783158,3805.248,5258.763789600001
1802,79.9,2015,497040.0,356.53,0.0,7899.999999600001,6166.799999999999,1699.1999999999998,156.0,19200.0,18000.0,12000.0,3600.0,0.0,61414.799999999996,130493.32999959998,130136.79999959999,4278.36
30006,84.14,2015,30977.425775999996,474.2277519,0.0,2900.0000004000003,600.0,0.0,0.0,0.0,480.0,0.0,3810.0001368000003,144.0,0.0,8408.2278891,7934.000137200001,5690.7330228
34914,90.49,2015,1745.65155,2270.9,0.0,30654.800004,0.0,16462.800000000003,2262.0,0.0,480.0,0.0,4257.6,0.0,20730.0,77118.100004,74847.20000400001,27250.800000000003
45111,133.74,2015,367565.36724,533.3,0.0,45228.0,140207.38692,10273.2,150.0,122199.99995999999,5760.0,5829.9999996,48.0,3099.5999904,598.8,333928.28686999995,333394.98686999996,6399.599999999999
25613,91.67,2015,12736.932131999998,459.3607166,0.0,5000.0000004,3600.0,0.0,0.0,480.0,3600.0,0.0,0.0,1344.0,1746.0,16229.360717,15770.0000004,5512.3285992
38615,112.16,2015,0.0,395.25,0.0,0.0,3600.0,1149.6,0.0,0.0,480.0,0.0,0.0,2424.0,2078.3999999999996,10127.25,9732.0,4743.0
8010,81.92,2015,307200.0,356.53,0.0,75200.000004,437173.08408000006,0.0,344.00000004000003,225024.0,48720.0,22920.0,0.0,5208.0,200.00000004000003,815145.6140840801,814789.0840840801,4278.36
49207,68.2,2015,17653.079592000002,382.36,2118.768,1700.0000004,1200.0,672.0,0.0,0.0,1440.0,0.0,0.0,600.0,192.0,8305.1280004,7922.7680004,4588.32
12515,65.35,2015,2177.43219,390.18,0.0,999.99999996,0.0,1210.8000000000002,0.0,5616.0,0.0,0.0,567.9999847199999,1608.0,0.0,10392.97998468,10002.79998468,4682.16
6807,78.01,2015,14425.599612000002,356.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,0.0,4508.53,4152.0,4278.36
14905,103.82,2015,290477.76564,361.46,69666.81096,12000.0,54789.577571999995,9.600000000000001,6135.9999996,121187.00004000001,18240.0,3500.0000004000003,14670.0,16272.0,3600.0,320432.4485720001,320070.98857200006,4337.5199999999995
49210,68.2,2015,39600.0,382.36,0.0,2000.0000004,1560.0,8150.7999996,0.0,0.0,2880.0,0.0,0.0,0.0,5998.799999999999,20971.96,20589.6,4588.32
27213,93.23,2015,6775.786376399999,617.2069908,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,814.9999923600001,0.0,0.0,1456.2069831600002,838.9999923600001,7406.4838896
9101,87.15,2015,30916.798824,844.1617338,0.0,4200.0,1440.0,3000.0,84.0,384.0,2700.0,0.0,2000.0000615999998,600.0,0.0,15252.1617954,14408.0000616,10129.9408056
3303,84.16,2015,44619.999024,356.53,0.0,0.0,2400.0,0.0,0.0,24950.000004,2400.0,699.99999996,0.0,2700.0,4176.0,37682.53000396,37326.00000396,4278.36
24014,103.42,2015,3076.0001220000004,329.2,0.0,1050.0,0.0,0.0,0.0,1152.0,0.0,0.0,0.0,0.0,0.0,2531.2,2202.0,3950.3999999999996
57410,77.19,2015,43156.784184000004,493.33,0.0,3549.9999995999997,4587.7308408,1860.0,36.0,2400.0,5448.0,0.0,2430.0,0.0,626.00000004,21431.06084044,20937.73084044,5919.96
