      weight_2015  vatax_2015 GROSS_INCOME_2015   weight_2016  vatax_2016 GROSS_INCOME_2016   weight_2017  vatax_2017 GROSS_INCOME_2017   weight_2018  vatax_2018 GROSS_INCOME_2018   weight_2019  vatax_2019 GROSS_INCOME_2019   weight_2020  vatax_2020 GROSS_INCOME_2020   weight_2021   vatax_2021 GROSS_INCOME_2021   weight_2022  vatax_2022 GROSS_INCOME_2022   weight_2023   vatax_2023 GROSS_INCOME_2023   weight_2024   vatax_2024 GROSS_INCOME_2024 weight_ref_2024 vatax_ref_2024 GROSS_INCOME_ref_2024 weight_ref_2025 vatax_ref_2025 GROSS_INCOME_ref_2025 weight_ref_2026 vatax_ref_2026 GROSS_INCOME_ref_2026 weight_ref_2027 vatax_ref_2027 GROSS_INCOME_ref_2027 weight_ref_2028 vatax_ref_2028 GROSS_INCOME_ref_2028 weight_ref_2029 vatax_ref_2029 GROSS_INCOME_ref_2029 weight_ref_2030 vatax_ref_2030 GROSS_INCOME_ref_2030      ETR  ETR_ref
10     9,400.2384     19.0000           36.0000    9,400.2384     22.0000           36.0000    9,400.2384     26.0000           36.0000    9,400.2384     25.0000           36.0000    9,400.2384     27.0000           36.0000    9,400.2384     26.0000           36.0000    9,400.2384      37.0000           36.0000    9,400.2384     32.0000           36.0000    9,400.2384      34.0000           36.0000    9,400.2384      38.0000           36.0000      9,400.2384        37.0000               36.0000      9,400.2384        39.0000               36.0000      9,400.2384        42.0000               36.0000      9,400.2384        45.0000               36.0000      9,400.2384        48.0000               36.0000      9,400.2384        52.0000               36.0000      9,400.2384        55.0000               36.0000   1.0556   1.0278
11     9,688.4871     20.0000           41.0000    9,688.4871     24.0000           41.0000    9,688.4871     28.0000           41.0000    9,688.4871     26.0000           41.0000    9,688.4871     29.0000           41.0000    9,688.4871     28.0000           41.0000    9,688.4871      39.0000           41.0000    9,688.4871     33.0000           41.0000    9,688.4871      36.0000           41.0000    9,688.4871      40.0000           41.0000      9,688.4871        39.0000               41.0000      9,688.4871        42.0000               41.0000      9,688.4871        45.0000               41.0000      9,688.4871        48.0000               41.0000      9,688.4871        51.0000               41.0000      9,688.4871        55.0000               41.0000      9,688.4871        59.0000               41.0000   0.9756   0.9512
12     9,393.2351     30.0000           45.0000    9,393.2351     36.0000           45.0000    9,393.2351     43.0000           45.0000    9,393.2351     40.0000           45.0000    9,393.2351     44.0000           45.0000    9,393.2351     43.0000           45.0000    9,393.2351      60.0000           45.0000    9,393.2351     51.0000           45.0000    9,393.2351      56.0000           45.0000    9,393.2351      62.0000           45.0000      9,393.2351        61.0000               45.0000      9,393.2351        65.0000               45.0000      9,393.2351        70.0000               45.0000      9,393.2351        74.0000               45.0000      9,393.2351        80.0000               45.0000      9,393.2351        85.0000               45.0000      9,393.2351        91.0000               45.0000   1.3778   1.3556
13     9,635.3887     15.0000           51.0000    9,635.3887     18.0000           51.0000    9,635.3887     21.0000           51.0000    9,635.3887     20.0000           51.0000    9,635.3887     21.0000           51.0000    9,635.3887     21.0000           51.0000    9,635.3887      29.0000           51.0000    9,635.3887     25.0000           51.0000    9,635.3887      27.0000           51.0000    9,635.3887      30.0000           51.0000      9,635.3887        29.0000               51.0000      9,635.3887        31.0000               51.0000      9,635.3887        33.0000               51.0000      9,635.3887        35.0000               51.0000      9,635.3887        38.0000               51.0000      9,635.3887        41.0000               51.0000      9,635.3887        43.0000               51.0000   0.5882   0.5686
14     9,497.7985     20.0000           55.0000    9,497.7985     24.0000           55.0000    9,497.7985     29.0000           55.0000    9,497.7985     27.0000           55.0000    9,497.7985     30.0000           55.0000    9,497.7985     29.0000           55.0000    9,497.7985      40.0000           55.0000    9,497.7985     34.0000           55.0000    9,497.7985      37.0000           55.0000    9,497.7985      41.0000           55.0000      9,497.7985        40.0000               55.0000      9,497.7985        43.0000               55.0000      9,497.7985        46.0000               55.0000      9,497.7985        49.0000               55.0000      9,497.7985        53.0000               55.0000      9,497.7985        56.0000               55.0000      9,497.7985        60.0000               55.0000   0.7455   0.7273
15     9,633.0435     27.0000           61.0000    9,633.0435     32.0000           61.0000    9,633.0435     37.0000           61.0000    9,633.0435     35.0000           61.0000    9,633.0435     39.0000           61.0000    9,633.0435     37.0000           61.0000    9,633.0435      53.0000           61.0000    9,633.0435     45.0000           61.0000    9,633.0435      49.0000           61.0000    9,633.0435      54.0000           61.0000      9,633.0435        53.0000               61.0000      9,633.0435        56.0000               61.0000      9,633.0435        60.0000               61.0000      9,633.0435        65.0000               61.0000      9,633.0435        69.0000               61.0000      9,633.0435        74.0000               61.0000      9,633.0435        80.0000               61.0000   0.8852   0.8689
16     9,332.5350     17.0000           65.0000    9,332.5350     20.0000           65.0000    9,332.5350     24.0000           65.0000    9,332.5350     22.0000           65.0000    9,332.5350     24.0000           65.0000    9,332.5350     24.0000           65.0000    9,332.5350      33.0000           65.0000    9,332.5350     28.0000           65.0000    9,332.5350      31.0000           65.0000    9,332.5350      34.0000           65.0000      9,332.5350        33.0000               65.0000      9,332.5350        35.0000               65.0000      9,332.5350        38.0000               65.0000      9,332.5350        40.0000               65.0000      9,332.5350        43.0000               65.0000      9,332.5350        46.0000               65.0000      9,332.5350        50.0000               65.0000   0.5231   0.5077
17     9,751.0311     14.0000           73.0000    9,751.0311     17.0000           73.0000    9,751.0311     20.0000           73.0000    9,751.0311     19.0000           73.0000    9,751.0311     20.0000           73.0000    9,751.0311     20.0000           73.0000    9,751.0311      28.0000           73.0000    9,751.0311     24.0000           73.0000    9,751.0311      25.0000           73.0000    9,751.0311      28.0000           73.0000      9,751.0311        27.0000               73.0000      9,751.0311        29.0000               73.0000      9,751.0311        31.0000               73.0000      9,751.0311        33.0000               73.0000      9,751.0311        36.0000               73.0000      9,751.0311        38.0000               73.0000      9,751.0311        41.0000               73.0000   0.3836   0.3699
18     9,525.8762     13.0000           77.0000    9,525.8762     15.0000           77.0000    9,525.8762     18.0000           77.0000    9,525.8762     17.0000           77.0000    9,525.8762     18.0000           77.0000    9,525.8762     18.0000           77.0000    9,525.8762      25.0000           77.0000    9,525.8762     21.0000           77.0000    9,525.8762      23.0000           77.0000    9,525.8762      26.0000           77.0000      9,525.8762        25.0000               77.0000      9,525.8762        26.0000               77.0000      9,525.8762        28.0000               77.0000      9,525.8762        30.0000               77.0000      9,525.8762        32.0000               77.0000      9,525.8762        35.0000               77.0000      9,525.8762        37.0000               77.0000   0.3377   0.3247
19     9,545.7699     10.0000           82.0000    9,545.7699     12.0000           82.0000    9,545.7699     14.0000           82.0000    9,545.7699     13.0000           82.0000    9,545.7699     14.0000           82.0000    9,545.7699     14.0000           82.0000    9,545.7699      19.0000           82.0000    9,545.7699     17.0000           82.0000    9,545.7699      18.0000           82.0000    9,545.7699      20.0000           82.0000      9,545.7699        19.0000               82.0000      9,545.7699        20.0000               82.0000      9,545.7699        21.0000               82.0000      9,545.7699        23.0000               82.0000      9,545.7699        25.0000               82.0000      9,545.7699        26.0000               82.0000      9,545.7699        28.0000               82.0000   0.2439   0.2317
20     9,468.5078     12.0000           87.0000    9,468.5078     15.0000           87.0000    9,468.5078     17.0000           87.0000    9,468.5078     16.0000           87.0000    9,468.5078     18.0000           87.0000    9,468.5078     17.0000           87.0000    9,468.5078      24.0000           87.0000    9,468.5078     21.0000           87.0000    9,468.5078      22.0000           87.0000    9,468.5078      25.0000           87.0000      9,468.5078        24.0000               87.0000      9,468.5078        25.0000               87.0000      9,468.5078        27.0000               87.0000      9,468.5078        29.0000               87.0000      9,468.5078        31.0000               87.0000      9,468.5078        33.0000               87.0000      9,468.5078        36.0000               87.0000   0.2874   0.2759
