      weight_2015  vatax_2015 GROSS_INCOME_2015   weight_2016  vatax_2016 GROSS_INCOME_2016   weight_2017  vatax_2017 GROSS_INCOME_2017   weight_2018  vatax_2018 GROSS_INCOME_2018   weight_2019  vatax_2019 GROSS_INCOME_2019   weight_2020  vatax_2020 GROSS_INCOME_2020   weight_2021  vatax_2021 GROSS_INCOME_2021   weight_2022  vatax_2022 GROSS_INCOME_2022   weight_2023  vatax_2023 GROSS_INCOME_2023   weight_2024   vatax_2024 GROSS_INCOME_2024 weight_ref_2024 vatax_ref_2024 GROSS_INCOME_ref_2024 weight_ref_2025 vatax_ref_2025 GROSS_INCOME_ref_2025 weight_ref_2026 vatax_ref_2026 GROSS_INCOME_ref_2026 weight_ref_2027 vatax_ref_2027 GROSS_INCOME_ref_2027 weight_ref_2028 vatax_ref_2028 GROSS_INCOME_ref_2028 weight_ref_2029 vatax_ref_2029 GROSS_INCOME_ref_2029 weight_ref_2030 vatax_ref_2030 GROSS_INCOME_ref_2030      ETR  ETR_ref
10     9,400.2384     17.0000           36.0000    9,400.2384     20.0000           36.0000    9,400.2384     24.0000           36.0000    9,400.2384     23.0000           36.0000    9,400.2384     25.0000           36.0000    9,400.2384     24.0000           36.0000    9,400.2384     34.0000           36.0000    9,400.2384     29.0000           36.0000    9,400.2384     31.0000           36.0000    9,400.2384      35.0000           36.0000      9,400.2384        35.0000               36.0000      9,400.2384        37.0000               36.0000      9,400.2384        40.0000               36.0000      9,400.2384        42.0000               36.0000      9,400.2384        45.0000               36.0000      9,400.2384        49.0000               36.0000      9,400.2384        52.0000               36.0000   0.9722   0.9722
11     9,688.4871     18.0000           41.0000    9,688.4871     22.0000           41.0000    9,688.4871     26.0000           41.0000    9,688.4871     24.0000           41.0000    9,688.4871     27.0000           41.0000    9,688.4871     26.0000           41.0000    9,688.4871     36.0000           41.0000    9,688.4871     31.0000           41.0000    9,688.4871     34.0000           41.0000    9,688.4871      37.0000           41.0000      9,688.4871        37.0000               41.0000      9,688.4871        40.0000               41.0000      9,688.4871        43.0000               41.0000      9,688.4871        46.0000               41.0000      9,688.4871        49.0000               41.0000      9,688.4871        53.0000               41.0000      9,688.4871        56.0000               41.0000   0.9024   0.9024
12     9,393.2351     26.0000           45.0000    9,393.2351     31.0000           45.0000    9,393.2351     37.0000           45.0000    9,393.2351     35.0000           45.0000    9,393.2351     38.0000           45.0000    9,393.2351     37.0000           45.0000    9,393.2351     52.0000           45.0000    9,393.2351     44.0000           45.0000    9,393.2351     48.0000           45.0000    9,393.2351      53.0000           45.0000      9,393.2351        53.0000               45.0000      9,393.2351        57.0000               45.0000      9,393.2351        61.0000               45.0000      9,393.2351        65.0000               45.0000      9,393.2351        70.0000               45.0000      9,393.2351        75.0000               45.0000      9,393.2351        80.0000               45.0000   1.1778   1.1778
13     9,635.3887     13.0000           51.0000    9,635.3887     15.0000           51.0000    9,635.3887     18.0000           51.0000    9,635.3887     17.0000           51.0000    9,635.3887     19.0000           51.0000    9,635.3887     18.0000           51.0000    9,635.3887     25.0000           51.0000    9,635.3887     21.0000           51.0000    9,635.3887     23.0000           51.0000    9,635.3887      26.0000           51.0000      9,635.3887        26.0000               51.0000      9,635.3887        28.0000               51.0000      9,635.3887        30.0000               51.0000      9,635.3887        32.0000               51.0000      9,635.3887        34.0000               51.0000      9,635.3887        36.0000               51.0000      9,635.3887        39.0000               51.0000   0.5098   0.5098
14     9,497.7985     17.0000           55.0000    9,497.7985     21.0000           55.0000    9,497.7985     24.0000           55.0000    9,497.7985     23.0000           55.0000    9,497.7985     25.0000           55.0000    9,497.7985     24.0000           55.0000    9,497.7985     34.0000           55.0000    9,497.7985     29.0000           55.0000    9,497.7985     31.0000           55.0000    9,497.7985      35.0000           55.0000      9,497.7985        35.0000               55.0000      9,497.7985        37.0000               55.0000      9,497.7985        40.0000               55.0000      9,497.7985        43.0000               55.0000      9,497.7985        46.0000               55.0000      9,497.7985        49.0000               55.0000      9,497.7985        53.0000               55.0000   0.6364   0.6364
15     9,633.0435     25.0000           61.0000    9,633.0435     30.0000           61.0000    9,633.0435     35.0000           61.0000    9,633.0435     33.0000           61.0000    9,633.0435     36.0000           61.0000    9,633.0435     35.0000           61.0000    9,633.0435     49.0000           61.0000    9,633.0435     42.0000           61.0000    9,633.0435     45.0000           61.0000    9,633.0435      50.0000           61.0000      9,633.0435        50.0000               61.0000      9,633.0435        54.0000               61.0000      9,633.0435        57.0000               61.0000      9,633.0435        61.0000               61.0000      9,633.0435        66.0000               61.0000      9,633.0435        70.0000               61.0000      9,633.0435        75.0000               61.0000   0.8197   0.8197
16     9,332.5350     15.0000           65.0000    9,332.5350     18.0000           65.0000    9,332.5350     21.0000           65.0000    9,332.5350     20.0000           65.0000    9,332.5350     22.0000           65.0000    9,332.5350     21.0000           65.0000    9,332.5350     30.0000           65.0000    9,332.5350     26.0000           65.0000    9,332.5350     28.0000           65.0000    9,332.5350      31.0000           65.0000      9,332.5350        31.0000               65.0000      9,332.5350        33.0000               65.0000      9,332.5350        35.0000               65.0000      9,332.5350        38.0000               65.0000      9,332.5350        41.0000               65.0000      9,332.5350        44.0000               65.0000      9,332.5350        47.0000               65.0000   0.4769   0.4769
17     9,751.0311     13.0000           73.0000    9,751.0311     15.0000           73.0000    9,751.0311     18.0000           73.0000    9,751.0311     17.0000           73.0000    9,751.0311     18.0000           73.0000    9,751.0311     18.0000           73.0000    9,751.0311     25.0000           73.0000    9,751.0311     21.0000           73.0000    9,751.0311     23.0000           73.0000    9,751.0311      26.0000           73.0000      9,751.0311        26.0000               73.0000      9,751.0311        28.0000               73.0000      9,751.0311        29.0000               73.0000      9,751.0311        32.0000               73.0000      9,751.0311        34.0000               73.0000      9,751.0311        36.0000               73.0000      9,751.0311        39.0000               73.0000   0.3562   0.3562
18     9,525.8762     11.0000           77.0000    9,525.8762     13.0000           77.0000    9,525.8762     15.0000           77.0000    9,525.8762     14.0000           77.0000    9,525.8762     16.0000           77.0000    9,525.8762     15.0000           77.0000    9,525.8762     21.0000           77.0000    9,525.8762     18.0000           77.0000    9,525.8762     20.0000           77.0000    9,525.8762      22.0000           77.0000      9,525.8762        22.0000               77.0000      9,525.8762        24.0000               77.0000      9,525.8762        25.0000               77.0000      9,525.8762        27.0000               77.0000      9,525.8762        29.0000               77.0000      9,525.8762        31.0000               77.0000      9,525.8762        33.0000               77.0000   0.2857   0.2857
19     9,545.7699      9.0000           82.0000    9,545.7699     10.0000           82.0000    9,545.7699     12.0000           82.0000    9,545.7699     12.0000           82.0000    9,545.7699     13.0000           82.0000    9,545.7699     12.0000           82.0000    9,545.7699     17.0000           82.0000    9,545.7699     15.0000           82.0000    9,545.7699     16.0000           82.0000    9,545.7699      18.0000           82.0000      9,545.7699        18.0000               82.0000      9,545.7699        19.0000               82.0000      9,545.7699        20.0000               82.0000      9,545.7699        22.0000               82.0000      9,545.7699        23.0000               82.0000      9,545.7699        25.0000               82.0000      9,545.7699        27.0000               82.0000   0.2195   0.2195
20     9,468.5078     11.0000           87.0000    9,468.5078     13.0000           87.0000    9,468.5078     16.0000           87.0000    9,468.5078     15.0000           87.0000    9,468.5078     16.0000           87.0000    9,468.5078     16.0000           87.0000    9,468.5078     22.0000           87.0000    9,468.5078     19.0000           87.0000    9,468.5078     20.0000           87.0000    9,468.5078      23.0000           87.0000      9,468.5078        23.0000               87.0000      9,468.5078        24.0000               87.0000      9,468.5078        26.0000               87.0000      9,468.5078        28.0000               87.0000      9,468.5078        30.0000               87.0000      9,468.5078        32.0000               87.0000      9,468.5078        34.0000               87.0000   0.2644   0.2644
21     9,603.1059     14.0000           94.0000    9,603.1059     17.0000           94.0000    9,603.1059     20.0000           94.0000    9,603.1059     19.0000           94.0000    9,603.1059     21.0000           94.0000    9,603.1059     20.0000           94.0000    9,603.1059     28.0000           94.0000    9,603.1059     24.0000           94.0000    9,603.1059     26.0000           94.0000    9,603.1059      29.0000           94.0000      9,603.1059        29.0000               94.0000      9,603.1059        31.0000               94.0000      9,603.1059        34.0000               94.0000      9,603.1059        36.0000               94.0000      9,603.1059        39.0000               94.0000      9,603.1059        41.0000               94.0000      9,603.1059        44.0000               94.0000   0.3085   0.3085
22     9,533.9630     18.0000           99.0000    9,533.9630     22.0000           99.0000    9,533.9630     25.0000           99.0000    9,533.9630     24.0000           99.0000    9,533.9630     26.0000           99.0000    9,533.9630     26.0000           99.0000    9,533.9630     36.0000           99.0000    9,533.9630     31.0000           99.0000    9,533.9630     33.0000           99.0000    9,533.9630      37.0000           99.0000      9,533.9630        37.0000               99.0000      9,533.9630        39.0000               99.0000      9,533.9630        42.0000               99.0000      9,533.9630        45.0000               99.0000      9,533.9630        48.0000               99.0000      9,533.9630        52.0000               99.0000      9,533.9630        56.0000               99.0000   0.3737   0.3737
