,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
18,"1,319,743.8360",375.0000,"19,649.0000","1,319,743.8360",375.0000,"19,649.0000","1,466,235.4018",416.0000,"21,830.0000","1,562,576.7018",444.0000,"23,265.0000","1,449,078.7319",412.0000,"21,575.0000","1,449,078.7319",412.0000,"21,575.0000","1,449,078.7319",412.0000,"21,575.0000",0.0191,0.0191
19,"1,319,219.6447",411.0000,"22,158.0000","1,319,219.6447",411.0000,"22,158.0000","1,465,653.0253",457.0000,"24,617.0000","1,561,956.0594",487.0000,"26,235.0000","1,448,503.1699",451.0000,"24,329.0000","1,448,503.1699",451.0000,"24,329.0000","1,448,503.1699",451.0000,"24,329.0000",0.0185,0.0185
20,"1,319,730.3952",497.0000,"24,487.0000","1,319,730.3952",497.0000,"24,487.0000","1,466,220.4690",552.0000,"27,205.0000","1,562,560.7879",589.0000,"28,992.0000","1,449,063.9739",546.0000,"26,887.0000","1,449,063.9739",546.0000,"26,887.0000","1,449,063.9739",546.0000,"26,887.0000",0.0203,0.0203
21,"1,319,412.8562",634.0000,"27,081.0000","1,319,412.8562",634.0000,"27,081.0000","1,465,867.6833",704.0000,"30,087.0000","1,562,184.8218",750.0000,"32,064.0000","1,448,715.3162",696.0000,"29,735.0000","1,448,715.3162",696.0000,"29,735.0000","1,448,715.3162",696.0000,"29,735.0000",0.0234,0.0234
22,"1,318,702.1739",677.0000,"30,043.0000","1,318,702.1739",677.0000,"30,043.0000","1,465,078.1152",752.0000,"33,378.0000","1,561,343.3739",802.0000,"35,571.0000","1,447,934.9869",744.0000,"32,988.0000","1,447,934.9869",744.0000,"32,988.0000","1,447,934.9869",744.0000,"32,988.0000",0.0225,0.0225
23,"1,319,298.6094",707.0000,"31,455.0000","1,319,298.6094",707.0000,"31,455.0000","1,465,740.7551",785.0000,"34,947.0000","1,562,049.5536",837.0000,"37,243.0000","1,448,589.8732",776.0000,"34,538.0000","1,448,589.8732",776.0000,"34,538.0000","1,448,589.8732",776.0000,"34,538.0000",0.0225,0.0225
24,"1,316,336.5929",829.0000,"34,106.0000","1,316,336.5929",829.0000,"34,106.0000","1,462,449.9548",921.0000,"37,892.0000","1,558,542.5261",982.0000,"40,381.0000","1,445,337.5791",910.0000,"37,448.0000","1,445,337.5791",910.0000,"37,448.0000","1,445,337.5791",910.0000,"37,448.0000",0.0243,0.0243
25,"1,322,364.7921","1,062.0000","37,214.0000","1,322,364.7921","1,062.0000","37,214.0000","1,469,147.2841","1,180.0000","41,345.0000","1,565,679.9139","1,258.0000","44,062.0000","1,451,956.5418","1,166.0000","40,861.0000","1,451,956.5418","1,166.0000","40,861.0000","1,451,956.5418","1,166.0000","40,861.0000",0.0285,0.0285
26,"1,319,841.2818","1,037.0000","39,414.0000","1,319,841.2818","1,037.0000","39,414.0000","1,466,343.6641","1,152.0000","43,789.0000","1,562,692.0776","1,227.0000","46,666.0000","1,449,185.7274","1,138.0000","43,276.0000","1,449,185.7274","1,138.0000","43,276.0000","1,449,185.7274","1,138.0000","43,276.0000",0.0263,0.0263
27,"1,319,039.8740","1,197.0000","42,071.0000","1,319,039.8740","1,197.0000","42,071.0000","1,465,453.3000","1,330.0000","46,741.0000","1,561,743.2108","1,417.0000","49,812.0000","1,448,305.7817","1,314.0000","46,194.0000","1,448,305.7817","1,314.0000","46,194.0000","1,448,305.7817","1,314.0000","46,194.0000",0.0285,0.0285
28,"1,319,683.3524","1,154.0000","45,033.0000","1,319,683.3524","1,154.0000","45,033.0000","1,466,168.2045","1,282.0000","50,032.0000","1,562,505.0892","1,366.0000","53,319.0000","1,449,012.3209","1,267.0000","49,446.0000","1,449,012.3209","1,267.0000","49,446.0000","1,449,012.3209","1,267.0000","49,446.0000",0.0256,0.0256
29,"1,319,112.1183","1,166.0000","46,660.0000","1,319,112.1183","1,166.0000","46,660.0000","1,465,533.5635","1,295.0000","51,839.0000","1,561,828.7481","1,380.0000","55,245.0000","1,448,385.1059","1,280.0000","51,233.0000","1,448,385.1059","1,280.0000","51,233.0000","1,448,385.1059","1,280.0000","51,233.0000",0.0250,0.0250
30,"1,319,453.1786","1,297.0000","48,657.0000","1,319,453.1786","1,297.0000","48,657.0000","1,465,912.4815","1,441.0000","54,058.0000","1,562,232.5635","1,536.0000","57,610.0000","1,448,759.5902","1,425.0000","53,425.0000","1,448,759.5902","1,425.0000","53,425.0000","1,448,759.5902","1,425.0000","53,425.0000",0.0267,0.0267
31,"1,319,654.7907","1,574.0000","51,035.0000","1,319,654.7907","1,574.0000","51,035.0000","1,466,136.4724","1,748.0000","56,700.0000","1,562,471.2721","1,863.0000","60,425.0000","1,448,980.9601","1,728.0000","56,036.0000","1,448,980.9601","1,728.0000","56,036.0000","1,448,980.9601","1,728.0000","56,036.0000",0.0308,0.0308
32,"1,319,248.2064","1,522.0000","53,841.0000","1,319,248.2064","1,522.0000","53,841.0000","1,465,684.7574","1,691.0000","59,817.0000","1,561,989.8764","1,802.0000","63,748.0000","1,448,534.5307","1,671.0000","59,117.0000","1,448,534.5307","1,671.0000","59,117.0000","1,448,534.5307","1,671.0000","59,117.0000",0.0283,0.0283
