,2023,2024,2025,2026,2027,2028,2029,2030
current_law_All,4454.61,4912.76,5572.93,6736.71,7875.60,8907.77,10061.43,11354.32
reform_All,4454.61,4912.76,5572.93,6736.71,7875.60,8907.77,10061.43,11354.32
